iso_weekstartdate,iso_year,iso_week,isoyw,temperature,dew_point_temperature,relative_humidity,wind_speed,wind_direction,sea_level_pressure,station_level_pressure,visibility,wind_gust,wet_bulb_temperature,altimeter,pressure_3hr_change,precipitation,precipitation_3_hour,precipitation_6_hour,precipitation_9_hour,precipitation_12_hour,precipitation_15_hour,precipitation_18_hour,precipitation_21_hour,precipitation_24_hour,Station_ID,Station_name,Latitude,Longitude,Elevation
2000-01-03,2000,1,200001,0.7362500000000001,0.6465625,94.6875,2.8406249999999997,218.84615384615384,1020.6758620689656,1019.3916666666668,8.3038,15.4,0.735,1021.0385416666667,-0.14166666666666666,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-01-10,2000,2,200002,0.5727450980392157,0.031862745098039214,70.42647058823529,4.289756097560976,225.819209039548,1019.4834196891192,1017.9119999999999,14.30753431372549,11.446511627906977,0.37520000000000003,1018.6570731707318,-0.42692307692307696,41.1,0.0,19.0,0.0,0.0,0.0,0.0,0.0,18.3,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-01-17,2000,3,200003,-0.035476190476190474,-0.9050952380952381,54.4,7.180952380952381,256.7164179104478,1019.8673366834171,1017.5555555555555,15.126842105263158,13.874285714285714,-0.26925925925925925,1019.452380952381,0.5107142857142857,0.8999999999999999,0.0,19.2,0.0,0.0,0.0,0.0,0.0,23.400000000000002,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-01-24,2000,4,200004,-0.6329032258064516,-1.3672350230414747,58.68202764976959,4.828571428571428,198.87700534759358,1015.0802030456853,1014.4666666666666,13.876060747663551,12.868181818181819,-0.8551851851851852,1014.8032258064516,-0.28452380952380957,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,4.6,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-01-31,2000,5,200005,-0.32038297872340427,-0.9667234042553192,64.43404255319149,6.497872340425532,232.9951690821256,1015.5689655172414,1015.4428571428572,11.985461206896552,12.367777777777778,-0.5175,1014.131489361702,-0.2090909090909091,24.7,0.0,43.699999999999996,0.0,0.0,0.0,0.0,0.0,44.5,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-02-07,2000,6,200006,-0.11623809523809524,-0.8379523809523809,60.628571428571426,5.317142857142857,238.0710659898477,1015.122842639594,1013.9777777777779,13.777205741626794,11.38135593220339,-0.35703703703703704,1015.0590476190476,0.19999999999999998,0.0,0.0,7.3999999999999995,0.0,0.0,0.0,0.0,0.0,3.8,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-02-14,2000,7,200007,0.1951388888888889,-0.3931018518518518,67.72685185185185,3.380555555555556,195.52631578947367,1019.2879396984924,1018.9392857142857,12.818041860465115,11.18888888888889,-0.07928571428571429,1018.5375,-0.17619047619047615,12.6,0.0,13.6,0.0,0.0,0.0,0.0,0.0,7.1,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-02-21,2000,8,200008,0.17084444444444444,-0.4860888888888889,65.63555555555556,4.816888888888888,218.64734299516908,1021.8636815920398,1020.6692307692308,13.525251121076233,10.595454545454546,-0.07192307692307692,1021.5814159292036,0.5628205128205128,21.6,0.0,21.400000000000002,0.0,0.0,0.0,0.0,0.0,26.900000000000002,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-02-28,2000,9,200009,0.7813888888888889,0.3984722222222223,79.50925925925925,3.3574074074074076,170.76923076923077,1026.6560209424083,1025.5227272727273,11.756509259259259,12.27,0.5850000000000001,1026.3157407407407,-0.2773333333333333,3.1,0.0,4.7,0.0,0.0,0.0,0.0,0.0,2.8,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
2000-03-06,2000,10,200010,0.6919,-0.3494,50.955,5.919,300.8888888888889,1012.466497461929,1011.4481481481481,16.01409090909091,11.988172043010753,0.28555555555555556,1012.55,0.03493975903614456,0.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.3,USW00014734,NEWARK LIBERTY INTL AP,40.6828,-74.1692,1.8
