country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
USA,2015-10-26 00:00:00+00:00,201544.0,150.0,98.0,52.0,0.711492896043715,59.86847912782731,0.6533333333333333,0.3466666666666667,44.0,-0.822983865893657,0.5680647467311548,5.017279836814924,4.59511985013459,3.970291913552122
USA,2015-10-26 00:00:00+00:00,201544.0,150.0,98.0,52.0,28.328570882194473,58.09551191702947,0.6533333333333333,0.3466666666666667,44.0,-0.822983865893657,0.5680647467311548,5.017279836814924,4.59511985013459,3.970291913552122
USA,2015-11-30 00:00:00+00:00,201549.0,226.0,145.0,81.0,17.006679499356846,51.50210109248265,0.6415929203539823,0.3584070796460177,49.0,-0.3546048870425359,0.9350162426854148,5.424950017481403,4.983606621708336,4.406719247264253
USA,2015-11-30 00:00:00+00:00,201549.0,226.0,145.0,81.0,2.9120958201951592,53.164991264762385,0.6415929203539823,0.3584070796460177,49.0,-0.3546048870425359,0.9350162426854148,5.424950017481403,4.983606621708336,4.406719247264253
USA,2015-12-21 00:00:00+00:00,201552.0,386.0,220.0,166.0,15.943536307882548,42.300902236889854,0.5699481865284974,0.4300518134715025,52.0,6.432490598706546e-16,1.0,5.958424693029782,5.3981627015177525,5.117993812416755
USA,2015-12-21 00:00:00+00:00,201552.0,386.0,220.0,166.0,15.317318735436114,89.68221056499603,0.5699481865284974,0.4300518134715025,52.0,6.432490598706546e-16,1.0,5.958424693029782,5.3981627015177525,5.117993812416755
USA,2016-02-01 00:00:00+00:00,201605.0,2159.0,1572.0,587.0,27.844254310587537,54.488141446825594,0.7281148679944419,0.2718851320055581,5.0,0.5680647467311558,0.8229838658936564,7.67786350067821,7.360739903058278,6.376726947898627
USA,2016-02-01 00:00:00+00:00,201605.0,2159.0,1572.0,587.0,20.36513766403988,82.95545780566536,0.7281148679944419,0.2718851320055581,5.0,0.5680647467311558,0.8229838658936564,7.67786350067821,7.360739903058278,6.376726947898627
USA,2016-03-07 00:00:00+00:00,201610.0,8697.0,6679.0,2018.0,18.69101317008045,65.11188691455315,0.7679659652753823,0.2320340347246176,10.0,0.9350162426854148,0.3546048870425355,9.070848393157585,8.806873266530692,7.610357618312838
USA,2016-03-07 00:00:00+00:00,201610.0,8697.0,6679.0,2018.0,14.046210076666464,47.028746755139125,0.7679659652753823,0.2320340347246176,10.0,0.9350162426854148,0.3546048870425355,9.070848393157585,8.806873266530692,7.610357618312838
