inf_a_log_diff,inf_b_log_diff,avg_temp,humidity,season_sin,season_cos
-0.796109,-0.942798,9.302588,63.446022,-0.394578,-0.915445
-0.395839,-0.526697,10.166700,63.684990,-0.443418,-0.888729
0.508610,0.591707,11.979052,64.996065,-0.494909,-0.856647
0.006373,-0.061964,12.528100,64.931650,-0.540884,-0.822292
-0.116323,-0.225371,12.720594,65.035879,-0.585914,-0.785997
0.143005,0.127284,12.849486,65.251915,-0.629044,-0.747100
0.095368,0.049992,12.942192,65.317562,-0.668835,-0.706106
0.024475,-0.049923,12.932569,65.315460,-0.706103,-0.663419
0.085097,0.036114,12.933501,65.368768,-0.740709,-0.618971
0.098303,0.049379,12.938836,65.404403,-0.772213,-0.572934
