LOG_INF_A,temperature,dew_point_temperature,relative_humidity,wind_speed,sea_level_pressure,visibility,wet_bulb_temperature,precipitation,precipitation_24_hour
3.953141,2.737236,2.389796,82.183945,2.393703,1009.204196,9.539483,2.531371,22.140562,46.250582
3.905448,2.763786,2.398199,81.401684,2.396412,1009.580586,9.610383,2.541816,16.368401,55.417620
4.009936,2.770353,2.400232,81.100776,2.503702,1010.251800,9.733711,2.542994,15.545231,28.028412
4.003565,2.777131,2.398011,80.726562,2.571135,1010.401275,9.707059,2.542416,16.301719,25.034302
3.946504,2.767242,2.402411,81.411584,2.474300,1010.094097,9.640539,2.542330,14.546633,35.665059
3.908715,2.764770,2.404240,81.601093,2.438700,1009.865150,9.704821,2.541256,15.327866,41.264386
3.894966,2.771822,2.403187,81.233467,2.468986,1009.866217,9.775191,2.541182,13.851806,37.921033
3.868044,2.777712,2.402808,80.952509,2.463398,1009.974707,9.830314,2.541403,12.410223,35.254017
3.822749,2.781538,2.404271,80.845099,2.457275,1010.040196,9.860546,2.542406,11.292218,34.447154
3.770453,2.781153,2.404641,80.879653,2.453590,1010.025018,9.870366,2.541728,11.276472,35.392369
