CauseVar,EffectVar,FStatistic,PValue,Lags,Significant
inf_a_log_diff,inf_b_log_diff,2.202099,0.110761,2,false
inf_a_log_diff,avg_temp,0.655623,0.519198,2,false
inf_a_log_diff,humidity,1.094810,0.334746,2,false
inf_a_log_diff,season_sin,4.623735,0.009891,2,true
inf_a_log_diff,season_cos,0.411397,0.662764,2,false
inf_b_log_diff,inf_a_log_diff,12.887208,0.000003,2,true
inf_b_log_diff,avg_temp,0.468799,0.625802,2,false
inf_b_log_diff,humidity,0.652322,0.520914,2,false
inf_b_log_diff,season_sin,4.193860,0.015182,2,true
inf_b_log_diff,season_cos,0.296318,0.743574,2,false
avg_temp,inf_a_log_diff,0.617767,0.539220,2,false
avg_temp,inf_b_log_diff,0.140494,0.868935,2,false
avg_temp,humidity,1.085079,0.338016,2,false
avg_temp,season_sin,0.994349,0.370094,2,false
avg_temp,season_cos,0.221936,0.800981,2,false
humidity,inf_a_log_diff,1.179711,0.307520,2,false
humidity,inf_b_log_diff,0.229670,0.794811,2,false
humidity,avg_temp,1.371422,0.253916,2,false
humidity,season_sin,0.208656,0.811687,2,false
humidity,season_cos,0.216788,0.805114,2,false
season_sin,inf_a_log_diff,15.758847,0.000000,2,true
season_sin,inf_b_log_diff,17.910944,0.000000,2,true
season_sin,avg_temp,0.749076,0.472898,2,false
season_sin,humidity,1.877793,0.153119,2,false
season_sin,season_cos,265.859004,0.000000,2,true
season_cos,inf_a_log_diff,38.736490,0.000000,2,true
season_cos,inf_b_log_diff,15.224783,0.000000,2,true
season_cos,avg_temp,0.009197,0.990845,2,false
season_cos,humidity,0.292716,0.746257,2,false
season_cos,season_sin,240.539132,0.000000,2,true
