Horizon,Shock_precipitation,Shock_LOG_PRECIPITATION_24_HOUR,Shock_temperature,Shock_wind_speed,Shock_precipitation_24_hour,Shock_LOG_PRECIPITATION,Shock_LOG_VISIBILITY,Shock_LOG_RELATIVE_HUMIDITY,Shock_LOG_INF_B,Shock_dew_point_temperature,Shock_relative_humidity,Shock_sea_level_pressure,Shock_visibility,Shock_wet_bulb_temperature
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543011,0.000000
1,-0.002601,0.011203,0.228639,0.041158,0.004198,0.033968,-0.025606,-0.013571,-0.002510,-0.031563,-0.062443,0.001225,-0.010875,-0.010204
2,0.006127,0.028419,-0.007913,-0.002442,0.227876,0.036888,0.011391,0.028762,0.017462,0.038973,0.005451,-0.000107,-0.066434,0.040083
3,-0.002193,-0.074249,0.031822,0.021696,-0.003589,-0.004445,-0.028758,0.226425,0.014051,0.024019,0.027492,-0.020518,-0.005685,0.022215
4,-0.014665,0.014045,0.003345,-0.027408,-0.082926,0.014369,0.010990,0.018610,0.001027,0.001899,0.192166,0.019428,0.014663,0.043268
5,-0.015447,0.201665,0.006862,0.045371,0.047932,-0.018990,0.014614,0.017342,-0.000502,-0.068485,0.025732,0.013324,-0.002186,0.012486
6,-0.075819,0.005979,0.000504,0.031361,-0.004851,-0.003844,0.186602,0.018032,0.061470,0.076424,-0.003883,0.014874,0.004538,-0.028671
7,0.066885,-0.006493,0.016280,0.001827,-0.024929,-0.075138,-0.001733,-0.007351,0.034342,0.000704,-0.004260,0.171188,0.009537,0.051212
8,0.014545,0.055510,0.054747,-0.000517,0.011474,0.009710,-0.018608,-0.069747,0.008907,0.003629,0.021936,0.004705,-0.001664,0.162563
9,0.031169,-0.002200,-0.003079,0.151069,0.012365,0.052919,0.056837,-0.007163,0.017133,0.004222,-0.024757,-0.073854,-0.006573,-0.000849
10,0.004171,0.057131,0.058725,-0.001876,0.018144,0.003332,-0.026734,-0.070465,-0.007156,-0.000555,0.030416,-0.003119,-0.003119,0.143673
11,-0.000325,0.020586,0.002885,-0.027045,-0.069264,-0.012432,-0.004963,0.035647,-0.001235,-0.000544,0.129286,0.000719,0.058305,0.058676
